sample_name,fq1,fq2
E-21-20803,data/E-21-20803_S17_L001_R1_001.fastq.gz,data/E-21-20803_S17_L001_R2_001.fastq.gz
E-21-20806,data/E-21-20806_S18_L001_R1_001.fastq.gz,data/E-21-20806_S18_L001_R2_001.fastq.gz
E-21-20810,data/E-21-20810_S19_L001_R1_001.fastq.gz,data/E-21-20810_S19_L001_R2_001.fastq.gz
E-21-20814,data/E-21-20814_S20_L001_R1_001.fastq.gz,data/E-21-20814_S20_L001_R2_001.fastq.gz
E-21-21167,data/E-21-21167_S1_L001_R1_001.fastq.gz,data/E-21-21167_S1_L001_R2_001.fastq.gz
E-21-21168,data/E-21-21168_S2_L001_R1_001.fastq.gz,data/E-21-21168_S2_L001_R2_001.fastq.gz
E-21-21177,data/E-21-21177_S3_L001_R1_001.fastq.gz,data/E-21-21177_S3_L001_R2_001.fastq.gz
E-21-21184,data/E-21-21184_S4_L001_R1_001.fastq.gz,data/E-21-21184_S4_L001_R2_001.fastq.gz
E-21-21188,data/E-21-21188_S5_L001_R1_001.fastq.gz,data/E-21-21188_S5_L001_R2_001.fastq.gz
E-21-21189,data/E-21-21189_S6_L001_R1_001.fastq.gz,data/E-21-21189_S6_L001_R2_001.fastq.gz
E-21-21191,data/E-21-21191_S7_L001_R1_001.fastq.gz,data/E-21-21191_S7_L001_R2_001.fastq.gz
E-21-21193,data/E-21-21193_S8_L001_R1_001.fastq.gz,data/E-21-21193_S8_L001_R2_001.fastq.gz
E-21-21203,data/E-21-21203_S9_L001_R1_001.fastq.gz,data/E-21-21203_S9_L001_R2_001.fastq.gz
E-21-21204,data/E-21-21204_S10_L001_R1_001.fastq.gz,data/E-21-21204_S10_L001_R2_001.fastq.gz
E-21-21207,data/E-21-21207_S11_L001_R1_001.fastq.gz,data/E-21-21207_S11_L001_R2_001.fastq.gz
E-21-21214,data/E-21-21214_S12_L001_R1_001.fastq.gz,data/E-21-21214_S12_L001_R2_001.fastq.gz
E-21-21216,data/E-21-21216_S13_L001_R1_001.fastq.gz,data/E-21-21216_S13_L001_R2_001.fastq.gz
E-21-21217,data/E-21-21217_S14_L001_R1_001.fastq.gz,data/E-21-21217_S14_L001_R2_001.fastq.gz
E-21-21218,data/E-21-21218_S15_L001_R1_001.fastq.gz,data/E-21-21218_S15_L001_R2_001.fastq.gz
E-21-21220,data/E-21-21220_S16_L001_R1_001.fastq.gz,data/E-21-21220_S16_L001_R2_001.fastq.gz
